customer_id;customer_name;email;phone;country;city;address;postal_code;birth_date;gender;registration_date;purchase_history;loyalty_points
C0034;Luis Porcel;luis.porcel@example.com;+34 662434826;España;Cádiz;Rambla Serafina Navas 3;19275;21/07/1988;Masculino;03/06/2021;16 compras;293
C0035;Aránzazu Figueras;aránzazu.figueras@example.com;34747905240;España;Barcelona;Camino Lilia Porta 23;17513;26/07/1977;Femenino;29/12/2019;2 compras;342
C0036;Hermenegildo Ferreras;hermenegildo.ferreras@example.com;+34 725 70 16 56;España;Barcelona;Avenida Marcio Sevillano 4;70776;21/01/1956;Masculino;04/01/2023;10 compras;352
C0037;Roberto Cabrera;roberto.cabrera@example.com;+34 736 84 76 09;España;Asturias;Urbanización de Susanita Saavedra 84 Apt. 64 ;13008;20/05/1998;Masculino;21/03/2023;12 compras;559
C0038;Jeremías Planas;jeremías.planas@example.com;+34 733720911;España;Valencia;Calle Quirino Rincón 40;68155;26/03/1986;Otro;25/10/2023;11 compras;796
C0039;Juan Antonio Mate;juan antonio.mate@example.com;+34 819 208 384;España;Valladolid;Urbanización Liliana Cuenca 57 Puerta 0 ;36836;27/07/1969;Masculino;29/07/2022;11 compras;31
C0040;Florentina Escamilla;florentina.escamilla@example.com;+34 703 73 53 78;España;Málaga;Via de Tiburcio Albero 6 Puerta 4 ;13347;29/12/1995;Otro;26/09/2021;9 compras;960
C0041;Victor Manuel Santos;victor manuel.santos@example.com;+34 708 31 48 24;España;La Coruña;C. de María José Linares 201 Apt. 94 ;29997;20/02/1960;Masculino;08/08/2023;18 compras;186
C0042;Clementina Amores;clementina.amores@example.com;+34 674 67 35 80;España;Vizcaya;Paseo Andrés Felipe Rico 58 Puerta 7 ;66148;13/09/1965;Otro;24/11/2020;13 compras;338
C0043;Heriberto López;heriberto.lópez@example.com;+34 651858089;España;Santa Cruz de Tenerife;Alameda de Bonifacio Ureña 55;59988;19/02/1998;Otro;18/06/2019;11 compras;812
C0044;Juliana Ricart;juliana.ricart@example.com;+34 723608911;España;Huesca;Via María Jesús Agustín 2 Piso 8 ;74805;28/09/1968;Femenino;21/09/2023;19 compras;947
C0045;Luisina Campoy;luisina.campoy@example.com;34711689484;España;Almería;Cuesta de Luisa Rozas 356;54290;26/01/1962;Femenino;02/01/2023;19 compras;661
C0046;Edmundo Santos;edmundo.santos@example.com;34702739875;España;Granada;Alameda Vanesa Casal 24;23381;08/04/1997;Masculino;29/05/2022;19 compras;816
C0047;Tere Borrell;tere.borrell@example.com;+34 978741344;España;Sevilla;Glorieta de Nazario Villaverde 36;92203;11/02/1986;Otro;20/02/2023;11 compras;208
C0048;Carmina Pla;carmina.pla@example.com;+34746 47 34 42;España;Zaragoza;Cañada Montserrat Ballesteros 8;97926;07/01/1998;Femenino;13/10/2020;2 compras;262
C0049;Zaida Grande;zaida.grande@example.com;+34 712 74 54 39;España;Teruel;Avenida Valentín Macías 919 Piso 9 ;80497;27/09/1985;Femenino;22/04/2022;4 compras;471
C0050;Hipólito Ledesma;hipólito.ledesma@example.com;+34 732367963;España;Valladolid;Calle Amaya Ferrando 92 Puerta 5 ;18335;16/10/1975;Masculino;26/10/2020;7 compras;446
C0051;Fabián Alvarado;fabián.alvarado@example.com;+34 834 607 758;España;Málaga;Paseo de Chucho Ramírez 53;88599;21/02/1985;Otro;19/12/2021;1 compras;506
C0052;Octavia Sancho;octavia.sancho@example.com;+34 635 90 20 49;España;Cádiz;Callejón de Juana Merino 167 Apt. 06 ;68262;09/10/2001;Femenino;25/03/2023;20 compras;435
C0053;Brunilda Coca;brunilda.coca@example.com;+34 707647634;España;Almería;Cuesta de Sebastian Calatayud 67;35216;05/02/1980;Femenino;13/01/2019;4 compras;266
C0054;José Antonio Palomar;josé antonio.palomar@example.com;+34 686 763 841;España;Sevilla;Callejón de Aránzazu Vazquez 32 Piso 1 ;11938;11/06/2002;Masculino;09/08/2023;9 compras;855
C0055;Joaquina Delgado;joaquina.delgado@example.com;34733069983;España;Santa Cruz de Tenerife;Paseo Anabel Santana 5 Puerta 6 ;64629;15/07/2001;Femenino;21/01/2020;9 compras;980
C0056;Melisa Torrens;melisa.torrens@example.com;+34 716 259 770;España;Salamanca;Glorieta de Macarena Arévalo 3;51653;02/11/1987;Femenino;08/03/2023;6 compras;993
C0057;Dani Vicens;dani.vicens@example.com;+34865 48 94 18;España;Zaragoza;Callejón Cesar Salvà 8 Puerta 9 ;5848;31/05/1995;Masculino;17/12/2018;19 compras;18
C0058;Vilma Barrio;vilma.barrio@example.com;+34674 277 730;España;Vizcaya;Via de Melchor Alfaro 66 Apt. 47 ;12738;01/05/1969;Femenino;24/11/2023;9 compras;359
C0059;Jordana Ledesma;jordana.ledesma@example.com;+34 749 67 63 49;España;Burgos;Rambla de Azahar Gallo 2 Puerta 6 ;76763;30/09/1989;Femenino;28/02/2021;2 compras;901
C0060;Juan Antonio Cañete;juan antonio.cañete@example.com;+34 741 89 01 11;España;Jaén;Rambla Cirino Rodrigo 24 Puerta 0 ;43273;12/01/1973;Masculino;28/11/2019;5 compras;677
C0061;Valero Rios;valero.rios@example.com;34814009239;España;Cantabria;Pasadizo Concha Mateos 15 Puerta 4 ;76882;03/12/1969;Otro;10/01/2022;15 compras;285
C0062;Poncio Alberola;poncio.alberola@example.com;+34817 062 206;España;Córdoba;Plaza Che Arteaga 81 Apt. 70 ;80458;04/02/1982;Masculino;12/03/2021;10 compras;825
C0063;Eloy Goicoechea;eloy.goicoechea@example.com;+34 919 854 649;España;Murcia;Vial de Marc Córdoba 11;61533;08/08/1967;Masculino;28/07/2022;12 compras;851
C0064;Manuel Calvo;manuel.calvo@example.com;+34 890834191;España;Guadalajara;Callejón Cruz Calzada 50;25304;21/11/1985;Masculino;25/11/2020;15 compras;41
C0065;Rico Estévez;rico.estévez@example.com;+34 869 38 15 74;España;Valladolid;Acceso Javi Corominas 48;29749;31/05/1966;Otro;03/07/2023;2 compras;942
C0066;Blanca Francisco;blanca.francisco@example.com;+34626 090 758;España;Vizcaya;Avenida de Aníbal Díaz 759 Apt. 95 ;65251;15/02/1962;Femenino;26/05/2020;17 compras;593
C0067;Ámbar Diez;ámbar.diez@example.com;+34 707802901;España;Zamora;Alameda de Amalia Baeza 46;97899;21/10/1967;Femenino;09/03/2023;15 compras;520
C0068;Alicia Méndez;alicia.méndez@example.com;+34739 66 23 22;España;Palencia;Pasadizo Dolores Guardiola 87 Apt. 76 ;88975;04/01/1964;Femenino;24/10/2022;6 compras;115
C0069;Dorotea Franch;dorotea.franch@example.com;34667074233;España;Lugo;Glorieta Eusebio Santamaría 5 Puerta 2 ;77049;18/06/1973;Femenino;05/10/2021;3 compras;420
C0070;Rogelio Salas;rogelio.salas@example.com;+34 852 728 513;España;Burgos;Avenida de Gala Goñi 46;18971;18/09/1963;Otro;26/03/2020;3 compras;396
C0071;Petrona Bermudez;petrona.bermudez@example.com;+34729 951 533;España;Santa Cruz de Tenerife;Acceso de Prudencia Buendía 37;59495;17/09/1958;Otro;26/12/2022;5 compras;188
C0072;José Luis Ballester;josé luis.ballester@example.com;+34705 776 698;España;Soria;Calle Fátima Montalbán 51;76037;29/03/2002;Masculino;07/01/2019;18 compras;224
C0073;Miriam Casanova;miriam.casanova@example.com;34615093559;España;Almería;Plaza de Francisco Dávila 26;55594;11/11/1999;Otro;19/04/2019;2 compras;613
C0074;Esteban Carrasco;esteban.carrasco@example.com;+34 733 787 023;España;Segovia;Ronda de Julio César Hernandez 99 Puerta 1 ;75167;18/06/1978;Otro;12/08/2019;4 compras;313
C0075;Delfina Morell;delfina.morell@example.com;+34 713545632;España;Melilla;Paseo de Rosendo Fabra 696 Apt. 71 ;9785;15/05/1972;Otro;24/01/2019;9 compras;462
C0076;Rita Jordá;rita.jordá@example.com;+34721 60 32 84;España;Almería;Cuesta Cecilio Cañellas 55 Puerta 1 ;51273;12/03/1972;Femenino;09/12/2021;15 compras;208
C0077;Isidro Sosa;isidro.sosa@example.com;+34738 15 75 60;España;Las Palmas;Camino Jacinta Carro 801 Apt. 14 ;85275;01/07/1989;Masculino;16/12/2021;8 compras;787
C0078;Jose Cabeza;jose.cabeza@example.com;+34 713 194 478;España;Alicante;Via de Reinaldo Ferrándiz 1;66269;04/04/1990;Otro;02/05/2020;19 compras;497
C0079;Elías Reguera;elías.reguera@example.com;+34 740 77 83 06;España;Ceuta;C. Roldán Aller 24 Piso 5 ;83958;10/08/1985;Masculino;29/04/2019;17 compras;491
C0080;Cebrián Gibert;cebrián.gibert@example.com;+34737 192 813;España;Albacete;Urbanización de José María Lledó 47;62094;19/02/2001;Masculino;22/11/2020;15 compras;702
C0081;Ruy Olmo;ruy.olmo@example.com;+34 852 80 09 50;España;Guadalajara;Calle Rogelio Sanabria 75 Apt. 73 ;9805;30/12/1956;Masculino;09/03/2022;11 compras;149
C0082;Melisa Herrero;melisa.herrero@example.com;34616175562;España;Badajoz;Acceso Román Puga 64 Piso 0 ;59527;30/04/1954;Femenino;05/12/2023;20 compras;733
C0083;Inés Zurita;inés.zurita@example.com;+34748 622 523;España;La Coruña;Rambla Daniel Cuéllar 66 Puerta 0 ;55142;13/05/1969;Femenino;12/06/2019;19 compras;3
C0084;Ariadna Fábregas;ariadna.fábregas@example.com;34958159560;España;Ceuta;Paseo de Ana Royo 54 Piso 3 ;2513;12/06/1954;Otro;01/08/2019;9 compras;883
C0085;Sergio Solana;sergio.solana@example.com;+34 712540883;España;Navarra;Camino de Jonatan Tirado 706 Apt. 57 ;57280;29/08/1991;Masculino;03/10/2022;15 compras;749
C0086;Daniela Ribes;daniela.ribes@example.com;+34 919 250 094;España;Zamora;Callejón de Blanca Almazán 6;2403;25/07/1966;Femenino;23/11/2019;13 compras;313
C0087;Leticia Sevilla;leticia.sevilla@example.com;+34702 56 38 61;España;Tarragona;Callejón de Elba Carranza 58 Apt. 47 ;56441;11/06/1984;Otro;07/03/2022;10 compras;188
C0088;Sarita Agudo;sarita.agudo@example.com;+34 805305798;España;Álava;Cañada Lucía Carro 32 Apt. 49 ;66759;11/08/1966;Femenino;13/01/2023;2 compras;299
C0089;Amada Palau;amada.palau@example.com;+34 731 66 70 46;España;Cáceres;Pasaje de Candelas Muro 748 Apt. 29 ;31210;11/03/2002;Femenino;10/01/2022;16 compras;53
C0090;Reyna Quintana;reyna.quintana@example.com;+34 744 873 918;España;Almería;Glorieta Ágata Almeida 85 Apt. 94 ;76832;28/03/1969;Femenino;28/03/2021;3 compras;583
C0091;Ascensión Torrens;ascensión.torrens@example.com;+34 704 899 199;España;Ciudad;Paseo Gustavo Nogueira 737;59325;17/03/1976;Femenino;09/11/2022;2 compras;730
C0092;Ale Antón;ale.antón@example.com;+34712 83 87 62;España;Málaga;Cuesta Renato Gallo 59 Puerta 2 ;71569;20/12/1953;Femenino;06/03/2020;10 compras;132
C0093;Bernardita Amor;bernardita.amor@example.com;+34 735 21 32 22;España;Ávila;Plaza de Joaquín Camino 431 Piso 1 ;1674;10/12/2005;Femenino;28/10/2020;13 compras;610
C0094;Luis Miguel Moreno;luis miguel.moreno@example.com;+34702 370 494;España;Almería;Rambla de Pastor Morillo 27;61520;08/01/1968;Masculino;31/08/2022;12 compras;253
C0095;Berto Peiró;berto.peiró@example.com;+34 701 616 157;España;Guipúzcoa;Avenida Macario Vicente 46;47022;20/06/1961;Otro;25/08/2020;13 compras;391
C0096;Lina Heredia;lina.heredia@example.com;+34733 723 808;España;Toledo;Acceso Jafet Canales 97;67511;04/04/1972;Femenino;29/03/2021;19 compras;322
C0097;Imelda Antón;imelda.antón@example.com;+34 706 993 068;España;Navarra;Plaza Lope Rojas 76 Apt. 72 ;64478;09/10/1966;Otro;31/05/2022;13 compras;92
C0098;Edu Piñol;edu.piñol@example.com;+34740 523 337;España;Sevilla;Pasadizo de Rosario Lladó 4 Puerta 7 ;47184;25/06/1969;Otro;13/06/2022;3 compras;701
C0099;Jose Angel Prats;jose angel.prats@example.com;+34 703 83 00 36;España;Burgos;Plaza de Gilberto Mínguez 7 Puerta 1 ;60008;18/11/1959;Masculino;18/06/2023;7 compras;951
C0100;Marcela Landa;marcela.landa@example.com;+34733 707 232;España;Baleares;Acceso Efraín Torrent 576;31713;26/08/1957;Otro;07/01/2019;5 compras;427
C0101;Yaiza Ortega;yaiza.ortega@example.com;+34684 721 114;España;Ceuta;Callejón Oriana Elorza 2;34830;10/04/1973;Otro;29/06/2021;11 compras;595
C0102;Teodosio Gallardo;teodosio.gallardo@example.com;+34 724753525;España;Lleida;Pasadizo de Cesar Cañellas 93;18547;03/06/1998;Masculino;14/09/2023;4 compras;720
C0103;Atilio Barba;atilio.barba@example.com;34808485059;España;Palencia;Pasaje Gertrudis Carbajo 70;76803;04/07/1992;Otro;22/12/2020;19 compras;952
C0104;Víctor Alemán;víctor.alemán@example.com;34744224375;España;Navarra;Pasadizo Francisco Cortina 79;46021;14/01/2005;Masculino;24/01/2023;7 compras;210
C0105;Jose Ignacio Solé;jose ignacio.solé@example.com;+34723 38 58 64;España;Málaga;Cuesta Cayetano Moraleda 67 Piso 5 ;73993;29/10/1994;Otro;03/03/2021;4 compras;232
C0106;Martin Torrecilla;martin.torrecilla@example.com;+34960 58 39 34;España;Toledo;Calle Vilma Luís 56 Piso 2 ;13031;03/12/1993;Masculino;11/09/2023;3 compras;360
C0107;Joaquina Mendez;joaquina.mendez@example.com;+34671 43 09 94;España;Zaragoza;Acceso de María Manuela Chacón 320;22508;13/10/1997;Otro;17/12/2021;20 compras;128
C0108;Andrés Iglesias;andrés.iglesias@example.com;+34 707 22 05 17;España;Navarra;Alameda Paulino Mascaró 2 Apt. 11 ;99622;28/02/1995;Masculino;18/04/2022;10 compras;397
C0109;Fernando Girón;fernando.girón@example.com;34744120323;España;Murcia;Paseo de Leandro Cuervo 82 Apt. 24 ;77081;09/06/1954;Masculino;16/09/2022;15 compras;302
C0110;Marcio Toro;marcio.toro@example.com;+34 894562306;España;Teruel;Ronda Dolores Rosado 4 Apt. 89 ;56086;13/12/1958;Otro;27/05/2020;14 compras;471
C0111;Raúl Quesada;raúl.quesada@example.com;+34 950 989 929;España;Huesca;Via de Perlita Barroso 57 Piso 6 ;92593;19/08/1965;Masculino;26/01/2020;20 compras;674
C0112;Danilo Murillo;danilo.murillo@example.com;+34 707 055 212;España;Cáceres;Vial de Elpidio Amador 32;22458;25/07/1962;Masculino;25/08/2022;10 compras;561
C0113;Alejo Infante;alejo.infante@example.com;+34706 623 282;España;Huesca;Pasadizo Ascensión Echeverría 62;66562;12/04/1991;Masculino;26/12/2018;1 compras;448
C0114;Lorenza Ayala;lorenza.ayala@example.com;+34 979 19 13 63;España;Ávila;Via Chelo Vicente 39;6809;10/07/1966;Femenino;30/07/2023;17 compras;780
C0115;Flor Álvaro;flor.álvaro@example.com;+34 888045215;España;Sevilla;Via de Esther Ferrando 63;64716;01/01/1977;Femenino;31/12/2018;8 compras;885
C0116;Maribel Salom;maribel.salom@example.com;+34745 511 956;España;La Rioja;Callejón de Manuela Caballero 61;16360;29/01/1990;Femenino;17/01/2023;12 compras;933
C0117;Feliciana Fortuny;feliciana.fortuny@example.com;+34701 08 93 09;España;Madrid;Pasadizo Lidia Luján 66 Piso 7 ;13434;17/04/1963;Femenino;23/05/2019;9 compras;222
C0118;Chelo Martín;chelo.martín@example.com;+34719 205 278;España;Ciudad;Glorieta Ramona Noriega 91 Puerta 3 ;16576;19/02/2003;Femenino;25/06/2022;19 compras;319
C0119;Cirino Tolosa;cirino.tolosa@example.com;+34883 28 81 51;España;Ciudad;Calle de Francisco Checa 85 Puerta 8 ;35423;22/03/1962;Otro;01/12/2022;8 compras;73
C0120;Guillermo Tormo;guillermo.tormo@example.com;+34 930 59 05 87;España;Asturias;Via de Abel Mateos 23;84193;14/06/1959;Masculino;19/07/2019;17 compras;429
C0121;Lilia Jurado;lilia.jurado@example.com;+34 734 398 619;España;Murcia;Callejón de Guadalupe Zurita 237;85722;01/06/1987;Femenino;05/12/2020;20 compras;739
C0122;Manu Quintero;manu.quintero@example.com;34733411576;España;Lugo;Paseo Clarisa Jordá 32 Apt. 41 ;23353;12/02/1961;Otro;15/08/2019;15 compras;990
C0123;Chus Dávila;chus.dávila@example.com;34739131042;España;Ávila;Callejón de Josefina Cano 78;77964;08/03/1961;Masculino;15/07/2019;8 compras;318
C0124;Juan Carlos Piña;juan carlos.piña@example.com;+34 718 755 894;España;Melilla;Pasaje Brunilda Alcázar 15 Piso 9 ;52995;20/08/1992;Otro;02/11/2019;12 compras;482
C0125;Augusto Lledó;augusto.lledó@example.com;+34 741 25 93 00;España;Las Palmas;Rambla de Casandra Álvaro 20;17453;21/07/1972;Otro;25/08/2019;6 compras;905
C0126;Lupe Buendía;lupe.buendía@example.com;+34940 78 37 85;España;Sevilla;Plaza de Clotilde Piñol 61;6115;07/11/2003;Femenino;02/11/2023;4 compras;630
C0127;Isaura Amigó;isaura.amigó@example.com;+34 724788827;España;Badajoz;Cañada Ale Barriga 11 Piso 1 ;56077;03/02/1967;Otro;21/01/2023;18 compras;869
C0128;Irma Escamilla;irma.escamilla@example.com;+34726 92 97 25;España;Lleida;C. de Ximena Cánovas 484;94845;12/05/2002;Femenino;03/03/2022;6 compras;841
C0129;Inés Sancho;inés.sancho@example.com;+34 714704901;España;Guipúzcoa;Cañada Sandra Guerrero 6;71601;11/01/2003;Femenino;12/12/2021;12 compras;33
C0130;Ruth Cardona;ruth.cardona@example.com;+34 727 482 842;España;Almería;Calle de Victoria Somoza 253 Apt. 94 ;15223;06/11/1969;Otro;16/06/2023;5 compras;259
C0131;Nayara Ramón;nayara.ramón@example.com;+34 732725410;España;Cantabria;Acceso de Roxana Millán 58;61363;16/06/2003;Femenino;24/12/2021;6 compras;253
C0132;Natalio Gallardo;natalio.gallardo@example.com;+34 714 488 964;España;Teruel;Cañada Danilo Moles 7 Puerta 6 ;30015;28/12/1981;Otro;02/09/2022;15 compras;871
C0133;Jeremías Ricart;jeremías.ricart@example.com;+34 730136904;España;Murcia;Acceso de Dani Galvez 623 Puerta 7 ;13423;11/03/1975;Masculino;13/05/2020;1 compras;789
C0134;Olalla Grande;olalla.grande@example.com;34871444695;España;Albacete;Calle de Diego Zabaleta 10;24626;09/08/2005;Femenino;29/12/2020;14 compras;258
C0135;Luciano Gras;luciano.gras@example.com;+34 746 615 393;España;Ceuta;Cuesta Bonifacio Ocaña 561 Piso 3 ;1826;03/07/2000;Otro;24/02/2019;4 compras;683
C0136;Florencio Pérez;florencio.pérez@example.com;+34 700948738;España;Guipúzcoa;Callejón de Carolina Castejón 96 Piso 7 ;56589;26/09/1976;Masculino;20/01/2021;13 compras;538
C0137;Amalia Español;amalia.español@example.com;+34 709 429 717;España;Guadalajara;Alameda Bautista Agustín 71;82708;14/10/1986;Otro;14/03/2023;4 compras;96
C0138;Roberta Giménez;roberta.giménez@example.com;+34 871639741;España;Ávila;Rambla Armando Miranda 86;59203;08/02/1978;Femenino;05/08/2021;8 compras;529
C0139;Eliseo Padilla;eliseo.padilla@example.com;+34 746 732 601;España;Cantabria;Callejón de Olegario Rodríguez 30;41461;16/07/1955;Masculino;11/09/2023;10 compras;49
C0140;Édgar Leon;édgar.leon@example.com;+34 732971650;España;Toledo;C. Joan Andreu 53 Puerta 5 ;88097;30/12/1953;Masculino;15/05/2019;18 compras;702
C0141;Agapito Tudela;agapito.tudela@example.com;34708980748;España;Barcelona;Pasadizo de Pili Gual 56;62105;22/09/1963;Masculino;10/06/2019;10 compras;128
C0142;Hortensia Salcedo;hortensia.salcedo@example.com;+34712 11 22 58;España;Huelva;Calle Victoriano Estrada 2 Apt. 55 ;32261;02/07/2004;Femenino;22/02/2019;16 compras;884
C0143;Jessica Lorenzo;jessica.lorenzo@example.com;34693695629;España;Soria;Rambla Iván Sala 4 Puerta 4 ;52536;28/03/1970;Femenino;05/06/2020;12 compras;20
C0144;Eulalia Ordóñez;eulalia.ordóñez@example.com;34683971341;España;Huelva;Rambla Gisela Sarmiento 33;29260;27/08/1960;Femenino;13/09/2023;2 compras;798
C0145;Victorino Camino;victorino.camino@example.com;+34702 93 02 13;España;Lugo;Callejón de Jaime Amores 827;35651;29/03/1996;Otro;02/02/2020;16 compras;778
C0146;Patricio Botella;patricio.botella@example.com;34722194182;España;Cáceres;C. Quique Aranda 730 Apt. 43 ;96454;03/05/2000;Masculino;24/12/2019;17 compras;37
C0147;Lorenza Luján;lorenza.luján@example.com;+34 700602588;España;Vizcaya;Vial Juan Francisco Miguel 7 Apt. 66 ;39396;13/12/1959;Femenino;11/05/2022;14 compras;893
C0148;Guiomar Cánovas;guiomar.cánovas@example.com;+34705 021 952;España;Santa Cruz de Tenerife;Camino de Eusebia Carro 5;7670;05/12/1984;Femenino;13/12/2022;11 compras;303
C0149;Mariana Fuentes;mariana.fuentes@example.com;+34907 57 45 57;España;Palencia;Alameda de Tania Cano 25;93212;11/03/1982;Femenino;07/02/2019;2 compras;186
C0150;Fulgencio Iborra;fulgencio.iborra@example.com;+34 714 138 033;España;Barcelona;Paseo de Teo Chacón 3 Puerta 8 ;54949;30/08/2003;Masculino;12/02/2023;3 compras;760
C0151;Maxi Ariza;maxi.ariza@example.com;34948077982;España;Almería;Cuesta Lola Pont 320;43672;09/11/1996;Masculino;13/12/2022;20 compras;971
C0152;José Antonio Espinosa;josé antonio.espinosa@example.com;+34 677 35 01 23;España;Cantabria;Callejón África Aguiló 57;73677;29/11/1984;Masculino;13/09/2021;15 compras;339
C0153;Zoraida Tomé;zoraida.tomé@example.com;+34851 922 131;España;La Rioja;Pasaje Isabel Olivera 14 Apt. 91 ;8180;15/06/2005;Femenino;30/08/2023;11 compras;300
